C:\Documents and Settings\IBIC\Desktop\New Folder\FingerPressing-1-2.edat2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ExperimentName,Subject,Session,Clock.Information,Display.RefreshRate,Group,RandomSeed,SessionDate,SessionTime,SessionTimeUtc,Block,EndSlide.ACC,EndSlide.CRESP,EndSlide.DurationError,EndSlide.OnsetDelay,EndSlide.OnsetTime,EndSlide.RESP,EndSlide.RT,EndSlide.RTTime,Procedure[Block],Running[Block],SoundAttr,SoundAttr.Cycle,SoundAttr.Sample,SoundHigh,SoundLow,WaitForTrigger.ACC,WaitForTrigger.CRESP,WaitForTrigger.DurationError,WaitForTrigger.OnsetDelay,WaitForTrigger.OnsetTime,WaitForTrigger.RESP,WaitForTrigger.RT,WaitForTrigger.RTTime,Trial,PrepDuration,PrepRand,PrepRand.Cycle,PrepRand.Sample,Procedure[Trial],Running[Trial],SubTrial,PrepSlide.ACC,PrepSlide.CRESP,PrepSlide.DurationError,PrepSlide.OnsetDelay,PrepSlide.OnsetTime,PrepSlide.RESP,PrepSlide.RT,PrepSlide.RTTime,Procedure[SubTrial],RestDuration,RestRand,RestRand.Cycle,RestRand.Sample,RestSlide.ACC,RestSlide.CRESP,RestSlide.DurationError,RestSlide.OnsetDelay,RestSlide.OnsetTime,RestSlide.RESP,RestSlide.RT,RestSlide.RTTime,Running[SubTrial]
FingerPressing,1,2,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2012-03-23T23:06:08Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">2793030000</Frequency><Timestamp dt:dt=""r8"">467489033341003</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2012-03-23T23:06:08Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",59.981,1,-433833446,23-Mar-12,4:06 PM,,1,0,,0,0,453643,r,426,454069,SoundTrial,SoundAttr,1,1,1,sound_high.wav,sound_low.wav,0,,-999999,0,76353,t,46990,123343,11,4000,1,12,11,PrepTrial,PrepRand,1,0,,3,-3,289440,t,1901,291341,RestTrial,10400,5,22,1,0,,-10,10,279053,t,288,279341,RestRand
FingerPressing,1,2,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2012-03-23T23:06:08Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">2793030000</Frequency><Timestamp dt:dt=""r8"">467489033341003</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2012-03-23T23:06:08Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",59.981,1,-433833446,23-Mar-12,4:06 PM,,1,0,,0,0,453643,r,426,454069,SoundTrial,SoundAttr,1,1,1,sound_high.wav,sound_low.wav,0,,-999999,0,76353,t,46990,123343,12,4000,1,13,12,PrepTrial,PrepRand,1,0,,-2,2,305045,t,296,305341,RestTrial,11600,17,24,1,0,,2,-2,293441,b,325,293766,RestRand
FingerPressing,1,2,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2012-03-23T23:06:08Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">2793030000</Frequency><Timestamp dt:dt=""r8"">467489033341003</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2012-03-23T23:06:08Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",59.981,1,-433833446,23-Mar-12,4:06 PM,,1,0,,0,0,453643,r,426,454069,SoundTrial,SoundAttr,1,1,1,sound_high.wav,sound_low.wav,0,,-999999,0,76353,t,46990,123343,13,6000,2,14,13,PrepTrial,PrepRand,1,0,,-7,7,320250,t,1091,321341,RestTrial,11200,13,26,1,0,,-3,3,309046,t,295,309341,RestRand
FingerPressing,1,2,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2012-03-23T23:06:08Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">2793030000</Frequency><Timestamp dt:dt=""r8"">467489033341003</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2012-03-23T23:06:08Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",59.981,1,-433833446,23-Mar-12,4:06 PM,,1,0,,0,0,453643,r,426,454069,SoundTrial,SoundAttr,1,1,1,sound_high.wav,sound_low.wav,0,,-999999,0,76353,t,46990,123343,14,4000,1,15,14,PrepTrial,PrepRand,1,0,,4,-4,336939,t,410,337349,RestTrial,10700,8,28,1,0,,-9,9,326252,b,321,326573,RestRand
FingerPressing,1,2,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2012-03-23T23:06:08Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">2793030000</Frequency><Timestamp dt:dt=""r8"">467489033341003</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2012-03-23T23:06:08Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",59.981,1,-433833446,23-Mar-12,4:06 PM,,1,0,,0,0,453643,r,426,454069,SoundTrial,SoundAttr,1,1,1,sound_high.wav,sound_low.wav,0,,-999999,0,76353,t,46990,123343,15,6000,2,16,15,PrepTrial,PrepRand,1,0,,-1,1,352644,t,705,353349,RestTrial,11700,18,30,1,0,,3,-3,340940,r,354,341294,RestRand
FingerPressing,1,2,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2012-03-23T23:06:08Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">2793030000</Frequency><Timestamp dt:dt=""r8"">467489033341003</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2012-03-23T23:06:08Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",59.981,1,-433833446,23-Mar-12,4:06 PM,,1,0,,0,0,453643,r,426,454069,SoundTrial,SoundAttr,1,1,1,sound_high.wav,sound_low.wav,0,,-999999,0,76353,t,46990,123343,16,4000,1,17,16,PrepTrial,PrepRand,1,0,,-6,6,368849,t,499,369348,RestTrial,10200,3,32,1,0,,-3,3,358646,b,328,358974,RestRand
FingerPressing,1,2,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2012-03-23T23:06:08Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">2793030000</Frequency><Timestamp dt:dt=""r8"">467489033341003</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2012-03-23T23:06:08Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",59.981,1,-433833446,23-Mar-12,4:06 PM,,1,0,,0,0,453643,r,426,454069,SoundTrial,SoundAttr,1,1,1,sound_high.wav,sound_low.wav,0,,-999999,0,76353,t,46990,123343,17,4000,1,18,17,PrepTrial,PrepRand,1,0,,5,-5,383838,t,1510,385348,RestTrial,11000,11,34,1,0,,-7,7,372850,r,323,373173,RestRand
FingerPressing,1,2,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2012-03-23T23:06:08Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">2793030000</Frequency><Timestamp dt:dt=""r8"">467489033341003</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2012-03-23T23:06:08Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",59.981,1,-433833446,23-Mar-12,4:06 PM,,1,0,,0,0,453643,r,426,454069,SoundTrial,SoundAttr,1,1,1,sound_high.wav,sound_low.wav,0,,-999999,0,76353,t,46990,123343,18,6000,2,19,18,PrepTrial,PrepRand,1,0,,1,-1,399042,t,306,399348,RestTrial,11200,13,36,1,0,,-12,12,387855,b,318,388173,RestRand
FingerPressing,1,2,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2012-03-23T23:06:08Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">2793030000</Frequency><Timestamp dt:dt=""r8"">467489033341003</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2012-03-23T23:06:08Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",59.981,1,-433833446,23-Mar-12,4:06 PM,,1,0,,0,0,453643,r,426,454069,SoundTrial,SoundAttr,1,1,1,sound_high.wav,sound_low.wav,0,,-999999,0,76353,t,46990,123343,19,4000,1,20,19,PrepTrial,PrepRand,1,0,,-6,6,416949,t,399,417348,RestTrial,11900,20,38,1,0,,-1,1,405044,t,304,405348,RestRand
FingerPressing,1,2,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2012-03-23T23:06:08Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">2793030000</Frequency><Timestamp dt:dt=""r8"">467489033341003</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2012-03-23T23:06:08Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",59.981,1,-433833446,23-Mar-12,4:06 PM,,1,0,,0,0,453643,r,426,454069,SoundTrial,SoundAttr,1,1,1,sound_high.wav,sound_low.wav,0,,-999999,0,76353,t,46990,123343,20,6000,2,21,20,PrepTrial,PrepRand,1,0,,-10,10,431653,t,1695,433348,RestTrial,10700,8,40,1,0,,-6,6,420949,t,399,421348,RestRand
FingerPressing,1,2,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2012-03-23T23:06:08Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">2793030000</Frequency><Timestamp dt:dt=""r8"">467489033341003</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2012-03-23T23:06:08Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",59.981,1,-433833446,23-Mar-12,4:06 PM,,1,0,,0,0,453643,r,426,454069,SoundTrial,SoundAttr,1,1,1,sound_high.wav,sound_low.wav,0,,-999999,0,76353,t,46990,123343,21,6000,2,22,21,PrepTrial,PrepRand,1,0,,2,-2,447641,t,1706,449347,RestTrial,10000,1,42,1,0,,-12,12,437655,b,326,437981,RestRand
