C:\Documents and Settings\IBIC\Desktop\New Folder\FingerPressing-1-3.edat2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ExperimentName,Subject,Session,Clock.Information,Display.RefreshRate,Group,RandomSeed,SessionDate,SessionTime,SessionTimeUtc,Block,EndSlide.ACC,EndSlide.CRESP,EndSlide.DurationError,EndSlide.OnsetDelay,EndSlide.OnsetTime,EndSlide.RESP,EndSlide.RT,EndSlide.RTTime,Procedure[Block],Running[Block],SoundAttr,SoundAttr.Cycle,SoundAttr.Sample,SoundHigh,SoundLow,WaitForTrigger.ACC,WaitForTrigger.CRESP,WaitForTrigger.DurationError,WaitForTrigger.OnsetDelay,WaitForTrigger.OnsetTime,WaitForTrigger.RESP,WaitForTrigger.RT,WaitForTrigger.RTTime,Trial,PrepDuration,PrepRand,PrepRand.Cycle,PrepRand.Sample,Procedure[Trial],Running[Trial],SubTrial,PrepSlide.ACC,PrepSlide.CRESP,PrepSlide.DurationError,PrepSlide.OnsetDelay,PrepSlide.OnsetTime,PrepSlide.RESP,PrepSlide.RT,PrepSlide.RTTime,Procedure[SubTrial],RestDuration,RestRand,RestRand.Cycle,RestRand.Sample,RestSlide.ACC,RestSlide.CRESP,RestSlide.DurationError,RestSlide.OnsetDelay,RestSlide.OnsetTime,RestSlide.RESP,RestSlide.RT,RestSlide.RTTime,Running[SubTrial]
FingerPressing,1,3,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2012-03-23T23:15:22Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">2793030000</Frequency><Timestamp dt:dt=""r8"">469036080164479</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2012-03-23T23:15:22Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",59.981,1,411079894,"Mar 23, 2012",4:15 PM,,1,0,,-1,1,375535,r,357,375892,SoundTrial,SoundAttr,1,1,1,sound_high.wav,sound_low.wav,0,,-999999,7,5914,t,31320,37234,1,6000,2,2,1,PrepTrial,PrepRand,1,0,,-61,61,48895,t,339,49234,RestTrial,11600,17,2,1,0,,-107,107,37341,t,1893,39234,RestRand
FingerPressing,1,3,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2012-03-23T23:15:22Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">2793030000</Frequency><Timestamp dt:dt=""r8"">469036080164479</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2012-03-23T23:15:22Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",59.981,1,411079894,"Mar 23, 2012",4:15 PM,,1,0,,-1,1,375535,r,357,375892,SoundTrial,SoundAttr,1,1,1,sound_high.wav,sound_low.wav,0,,-999999,7,5914,t,31320,37234,2,4000,1,3,2,PrepTrial,PrepRand,1,0,,0,0,66534,t,700,67234,RestTrial,11700,18,4,1,0,,4,-4,54830,b,404,55234,RestRand
FingerPressing,1,3,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2012-03-23T23:15:22Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">2793030000</Frequency><Timestamp dt:dt=""r8"">469036080164479</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2012-03-23T23:15:22Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",59.981,1,411079894,"Mar 23, 2012",4:15 PM,,1,0,,-1,1,375535,r,357,375892,SoundTrial,SoundAttr,1,1,1,sound_high.wav,sound_low.wav,0,,-999999,7,5914,t,31320,37234,3,6000,2,4,3,PrepTrial,PrepRand,1,0,,-4,4,81238,t,1996,83234,RestTrial,10700,8,6,1,0,,-1,1,70535,r,572,71107,RestRand
FingerPressing,1,3,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2012-03-23T23:15:22Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">2793030000</Frequency><Timestamp dt:dt=""r8"">469036080164479</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2012-03-23T23:15:22Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",59.981,1,411079894,"Mar 23, 2012",4:15 PM,,1,0,,-1,1,375535,r,357,375892,SoundTrial,SoundAttr,1,1,1,sound_high.wav,sound_low.wav,0,,-999999,7,5914,t,31320,37234,4,6000,2,5,4,PrepTrial,PrepRand,1,0,,-10,10,97844,t,1390,99234,RestTrial,10600,7,8,1,0,,-6,6,87240,b,475,87715,RestRand
FingerPressing,1,3,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2012-03-23T23:15:22Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">2793030000</Frequency><Timestamp dt:dt=""r8"">469036080164479</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2012-03-23T23:15:22Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",59.981,1,411079894,"Mar 23, 2012",4:15 PM,,1,0,,-1,1,375535,r,357,375892,SoundTrial,SoundAttr,1,1,1,sound_high.wav,sound_low.wav,0,,-999999,7,5914,t,31320,37234,5,4000,1,6,5,PrepTrial,PrepRand,1,0,,-15,15,114349,t,884,115233,RestTrial,10500,6,10,1,0,,5,-5,103829,r,398,104227,RestRand
FingerPressing,1,3,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2012-03-23T23:15:22Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">2793030000</Frequency><Timestamp dt:dt=""r8"">469036080164479</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2012-03-23T23:15:22Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",59.981,1,411079894,"Mar 23, 2012",4:15 PM,,1,0,,-1,1,375535,r,357,375892,SoundTrial,SoundAttr,1,1,1,sound_high.wav,sound_low.wav,0,,-999999,7,5914,t,31320,37234,6,4000,1,7,6,PrepTrial,PrepRand,1,0,,-20,20,129454,t,1779,131233,RestTrial,11100,12,12,1,0,,0,0,118334,b,845,119179,RestRand
FingerPressing,1,3,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2012-03-23T23:15:22Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">2793030000</Frequency><Timestamp dt:dt=""r8"">469036080164479</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2012-03-23T23:15:22Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",59.981,1,411079894,"Mar 23, 2012",4:15 PM,,1,0,,-1,1,375535,r,357,375892,SoundTrial,SoundAttr,1,1,1,sound_high.wav,sound_low.wav,0,,-999999,7,5914,t,31320,37234,7,4000,1,8,7,PrepTrial,PrepRand,1,0,,-8,8,144042,t,1191,145233,RestTrial,10600,7,14,1,0,,-5,5,133439,r,563,134002,RestRand
FingerPressing,1,3,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2012-03-23T23:15:22Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">2793030000</Frequency><Timestamp dt:dt=""r8"">469036080164479</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2012-03-23T23:15:22Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",59.981,1,411079894,"Mar 23, 2012",4:15 PM,,1,0,,-1,1,375535,r,357,375892,SoundTrial,SoundAttr,1,1,1,sound_high.wav,sound_low.wav,0,,-999999,7,5914,t,31320,37234,8,6000,2,9,8,PrepTrial,PrepRand,1,0,,3,-3,158931,t,302,159233,RestTrial,10900,10,16,1,0,,-10,10,148044,b,294,148338,RestRand
FingerPressing,1,3,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2012-03-23T23:15:22Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">2793030000</Frequency><Timestamp dt:dt=""r8"">469036080164479</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2012-03-23T23:15:22Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",59.981,1,411079894,"Mar 23, 2012",4:15 PM,,1,0,,-1,1,375535,r,357,375892,SoundTrial,SoundAttr,1,1,1,sound_high.wav,sound_low.wav,0,,-999999,7,5914,t,31320,37234,9,4000,1,10,9,PrepTrial,PrepRand,1,0,,-2,2,176236,t,997,177233,RestTrial,11300,14,18,1,0,,1,-1,164933,t,300,165233,RestRand
FingerPressing,1,3,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2012-03-23T23:15:22Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">2793030000</Frequency><Timestamp dt:dt=""r8"">469036080164479</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2012-03-23T23:15:22Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",59.981,1,411079894,"Mar 23, 2012",4:15 PM,,1,0,,-1,1,375535,r,357,375892,SoundTrial,SoundAttr,1,1,1,sound_high.wav,sound_low.wav,0,,-999999,7,5914,t,31320,37234,10,4000,1,11,10,PrepTrial,PrepRand,1,0,,-7,7,192241,t,1000,193241,RestTrial,12000,21,20,1,0,,-4,4,180238,b,308,180546,RestRand
